N,mu,mutation,run,found,generation_found,best_fit,best_individual
10,20,0.3,0,True,52,45,"[1, 8, 6, 9, 3, 0, 4, 7, 5, 2]"
10,20,0.3,1,False,-1,44,"[5, 1, 6, 9, 2, 8, 3, 0, 7, 4]"
10,20,0.3,2,False,-1,44,"[1, 5, 3, 9, 7, 4, 8, 0, 2, 6]"
10,20,0.3,3,True,468,45,"[4, 2, 0, 8, 6, 1, 9, 7, 5, 3]"
10,20,0.3,4,False,-1,44,"[5, 8, 0, 6, 3, 7, 2, 4, 9, 1]"
10,50,0.01,0,False,-1,44,"[7, 0, 2, 6, 9, 1, 4, 8, 5, 3]"
10,50,0.01,1,False,-1,44,"[3, 6, 2, 5, 8, 4, 0, 7, 9, 1]"
10,50,0.01,2,False,-1,44,"[8, 3, 0, 9, 7, 2, 4, 6, 1, 5]"
10,50,0.01,3,False,-1,44,"[7, 5, 2, 9, 4, 0, 8, 3, 1, 6]"
10,50,0.01,4,True,27,45,"[4, 6, 3, 0, 2, 7, 9, 1, 8, 5]"
10,50,0.05,0,True,338,45,"[4, 6, 3, 9, 2, 5, 8, 1, 7, 0]"
10,50,0.05,1,True,35,45,"[4, 6, 0, 5, 7, 1, 3, 8, 2, 9]"
10,50,0.05,2,True,24,45,"[4, 1, 8, 0, 2, 7, 9, 6, 3, 5]"
10,50,0.05,3,False,-1,44,"[5, 0, 9, 4, 2, 7, 8, 3, 1, 6]"
10,50,0.05,4,False,-1,44,"[6, 0, 7, 1, 5, 9, 2, 4, 8, 3]"
10,50,0.1,0,True,18,45,"[4, 1, 7, 9, 6, 2, 0, 8, 3, 5]"
10,50,0.1,1,True,10,45,"[9, 4, 0, 7, 3, 1, 6, 8, 5, 2]"
10,50,0.1,2,True,29,45,"[3, 5, 7, 1, 4, 0, 8, 6, 9, 2]"
10,50,0.1,3,True,11,45,"[1, 8, 2, 9, 6, 3, 0, 4, 7, 5]"
10,50,0.1,4,False,-1,44,"[3, 0, 6, 8, 5, 7, 1, 4, 2, 9]"
10,50,0.15,0,True,120,45,"[3, 6, 2, 9, 5, 1, 8, 4, 0, 7]"
10,50,0.15,1,True,16,45,"[1, 3, 7, 9, 4, 8, 5, 0, 2, 6]"
10,50,0.15,2,True,16,45,"[0, 5, 3, 9, 6, 8, 2, 4, 1, 7]"
10,50,0.15,3,True,227,45,"[2, 4, 8, 0, 5, 9, 6, 1, 3, 7]"
10,50,0.15,4,True,9,45,"[9, 1, 3, 8, 6, 2, 0, 5, 7, 4]"
10,50,0.2,0,False,-1,44,"[3, 0, 8, 5, 9, 2, 6, 4, 1, 7]"
10,50,0.2,1,True,18,45,"[3, 5, 7, 9, 1, 6, 2, 0, 8, 4]"
10,50,0.2,2,True,220,45,"[7, 4, 6, 0, 9, 1, 5, 2, 8, 3]"
10,50,0.2,3,True,10,45,"[6, 4, 1, 7, 0, 3, 8, 2, 5, 9]"
10,50,0.2,4,True,65,45,"[5, 1, 6, 4, 0, 8, 3, 9, 7, 2]"
10,50,0.3,0,True,27,45,"[4, 2, 8, 5, 9, 1, 6, 0, 3, 7]"
10,50,0.3,1,True,9,45,"[3, 7, 0, 4, 9, 1, 5, 2, 8, 6]"
10,50,0.3,2,False,-1,44,"[5, 8, 1, 4, 0, 3, 7, 9, 2, 6]"
10,50,0.3,3,True,15,45,"[5, 2, 6, 1, 3, 7, 9, 4, 8, 0]"
10,50,0.3,4,True,4,45,"[2, 7, 9, 3, 8, 0, 4, 6, 1, 5]"
10,100,0.01,0,True,72,45,"[1, 6, 9, 5, 2, 0, 3, 7, 4, 8]"
10,100,0.01,1,True,21,45,"[3, 8, 4, 2, 0, 9, 6, 1, 5, 7]"
10,100,0.01,2,True,65,45,"[5, 3, 9, 0, 4, 1, 7, 2, 6, 8]"
10,100,0.01,3,False,-1,44,"[3, 7, 4, 1, 8, 5, 0, 6, 9, 2]"
10,100,0.01,4,True,9,45,"[3, 1, 7, 9, 6, 2, 5, 8, 0, 4]"
10,100,0.05,0,True,9,45,"[8, 5, 2, 9, 3, 0, 7, 4, 6, 1]"
10,100,0.05,1,False,-1,44,"[3, 1, 9, 8, 6, 4, 2, 0, 5, 7]"
10,100,0.05,2,True,18,45,"[3, 9, 6, 1, 5, 2, 0, 7, 4, 8]"
10,100,0.05,3,True,23,45,"[6, 3, 5, 0, 8, 4, 2, 7, 9, 1]"
10,100,0.05,4,True,10,45,"[1, 4, 7, 9, 2, 5, 8, 0, 3, 6]"
10,100,0.1,0,True,69,45,"[7, 3, 8, 2, 4, 9, 0, 5, 1, 6]"
10,100,0.1,1,False,-1,44,"[4, 6, 9, 0, 5, 1, 8, 2, 7, 3]"
10,100,0.1,2,False,-1,44,"[5, 1, 9, 6, 0, 7, 3, 8, 2, 4]"
10,100,0.1,3,True,11,45,"[6, 8, 2, 7, 1, 3, 5, 0, 9, 4]"
10,100,0.1,4,True,3,45,"[3, 8, 4, 7, 0, 2, 5, 1, 6, 9]"
10,100,0.15,0,True,10,45,"[6, 2, 7, 1, 3, 0, 9, 4, 8, 5]"
10,100,0.15,1,True,10,45,"[1, 4, 7, 0, 6, 9, 2, 5, 3, 8]"
